coin,technique,config,n_features,n_text,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,f2_mean,f2_std
USDC,ADASYN+XGB,Top 60,60,7,0.9931988041853513,0.015207936169841623,0.9307760141093473,0.15478953812498544,0.9,0.22360679774997902,0.8699999999999999,0.1633630925270454,0.8824242424242424,0.19129830454636565,0.8923371647509579,0.2101443939636563
USDC,ADASYN+XGB,Top 80,80,9,0.9843156096519327,0.034892581330898384,0.9077589807852965,0.19642699473553293,0.8666666666666666,0.2981423969999719,0.8055555555555556,0.18814190533533426,0.8283333333333334,0.24349880218733452,0.8495066495066496,0.2759026612979198
USDC,ADASYN+XGB,전체 (Step2까지),144,48,0.9940422805893657,0.01296671838803899,0.9053875600419378,0.1908893681047852,0.9,0.22360679774997902,0.8755555555555556,0.18162503770402266,0.884090909090909,0.19688955245966863,0.8926374650512582,0.2111540652324493
DAI,SMOTE_05+RF,Top 60,60,2,0.9949061430372907,0.0013110853617120824,0.9193169975935911,0.026642207403371518,0.8972307692307693,0.03339560258760651,0.7633270895770895,0.0661930881602995,0.8228398733182487,0.03252855799664448,0.8653237935310305,0.02160209568803647
DAI,SMOTE_05+RF,Top 80,80,9,0.9952945415240496,0.0010879490624618553,0.9317120369061541,0.018596512301366074,0.912923076923077,0.03241009412487769,0.7592130211485051,0.0849911425803962,0.826271529381484,0.04629844121773759,0.8753239211912494,0.024924337253149922
DAI,SMOTE_05+RF,전체 (Step2까지),166,56,0.9944096559178526,0.0014386881687953248,0.919665564991945,0.029393498760206208,0.8895384615384616,0.04892210932763519,0.740697909257747,0.056926487858292296,0.8066563172238987,0.03730533241315983,0.8538951666216678,0.03719962629878686
USDC,ADASYN+XGB,v2 (텍스트 없음),60,0,0.9970104633781764,0.006477928185111994,0.9202380952380953,0.16536481349413512,0.9,0.22360679774997902,0.8464285714285715,0.05445696672134609,0.8646153846153848,0.14799115064966364,0.8840245775729647,0.19472103699606458
DAI,SMOTE_05+RF,v2 (텍스트 없음),60,0,0.9957629255989913,0.0014137636894465573,0.9344217845005914,0.024190596842781915,0.8972307692307693,0.0437637552340901,0.8025120167189133,0.07225140741551557,0.8443019512228437,0.02658206404569661,0.8744594760604553,0.021519000306363497
