auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,f2_mean,f2_std,n_valid_folds,avg_threshold,coin,technique,model
0.9992632927610506,0.0014748064616555486,0.959484126984127,0.08098379020295465,0.7476190476190476,0.25287462947336675,1.0,0.0,0.8331002331002331,0.19537255398022652,0.7773226097769709,0.23580046559944162,5,0.5,USDC,Baseline,RF
0.980098083673435,0.04319121961110607,0.886171236171236,0.19328235319648865,0.7761904761904762,0.25621525813932583,1.0,0.0,0.851048951048951,0.1994785122628849,0.8022780464971134,0.239757690982073,5,0.5,USDC,Baseline,XGB
0.9979286781977365,0.004073596963682905,0.9287037037037036,0.12914653259203843,0.719047619047619,0.22360679774997896,1.0,0.0,0.8177156177156177,0.18147904837083004,0.753793198012265,0.2127706644576726,5,0.5,USDC,WeightOnly,RF
0.9911808669656204,0.019720180967486924,0.9399171004434163,0.13434944769381327,0.9,0.22360679774997902,0.975,0.05590169943749474,0.9199999999999999,0.1445298892578587,0.9055555555555556,0.19602531960419278,5,0.5,USDC,WeightOnly,XGB
0.9989643390988683,0.002141247553091685,0.9406613756613756,0.12294614568220197,0.8333333333333333,0.28867513459481287,0.975,0.055901699437494734,0.8684848484848484,0.2098974343960018,0.8437813144709697,0.26290369506804967,5,0.5,USDC,SMOTE_03,RF
0.9975336322869955,0.00551496586378871,0.9298253968253967,0.1569151829924852,0.9,0.22360679774997902,0.9,0.10458250331675945,0.8933333333333333,0.16733200530681513,0.8960317460317461,0.2019018605661562,5,0.5,USDC,SMOTE_03,XGB
0.9988896006833226,0.002308042157034367,0.939642857142857,0.12521919556831337,0.8333333333333333,0.28867513459481287,0.975,0.055901699437494734,0.8684848484848484,0.2098974343960018,0.8437813144709697,0.26290369506804967,5,0.5,USDC,SMOTE_05,RF
0.9976937860345931,0.004979725762561245,0.9273448773448771,0.152675278792198,0.9,0.22360679774997902,0.8699999999999999,0.1633630925270454,0.8824242424242424,0.19129830454636565,0.8923371647509578,0.2101443939636563,5,0.5,USDC,SMOTE_05,XGB
0.9987401238522315,0.0026417548242501664,0.9336580086580085,0.13857864846202425,0.8333333333333333,0.28867513459481287,0.975,0.055901699437494734,0.8684848484848484,0.2098974343960018,0.8437813144709697,0.26290369506804967,5,0.5,USDC,SMOTE_07,RF
0.9967862481315397,0.00718616764069437,0.9235632183908045,0.17091783965946666,0.9,0.22360679774997902,0.8414285714285714,0.14657222918188473,0.8670396270396271,0.18236317817156034,0.885885551847732,0.20647587151260857,5,0.5,USDC,SMOTE_07,XGB
0.9986653854366858,0.0028086582186560077,0.9339285714285713,0.13797459837201323,0.8333333333333333,0.28867513459481287,0.95,0.06846531968814577,0.8551515151515151,0.20140005826978893,0.8382257589154142,0.2590424094668813,5,0.5,USDC,ADASYN,RF
0.9970104633781764,0.006477928185111994,0.9202380952380953,0.16536481349413512,0.9,0.22360679774997902,0.8464285714285715,0.05445696672134609,0.8646153846153848,0.14799115064966364,0.8840245775729647,0.19472103699606458,5,0.5,USDC,ADASYN,XGB
0.9975816784112748,0.0050226069600326426,0.9099970291146761,0.17827740994092028,0.8047619047619048,0.2747912008810192,0.9714285714285715,0.063887656499994,0.8532467532467531,0.20675471512889787,0.8207654414550966,0.25372535521057465,5,0.5,USDC,BorderlineSMOTE,RF
0.9957719410634208,0.008717017421909778,0.9029606625258799,0.18061550408344523,0.8047619047619048,0.2747912008810192,0.9130952380952382,0.08069813014324917,0.8247619047619048,0.19305985818791385,0.8094627594627595,0.24805925233484805,5,0.5,USDC,BorderlineSMOTE,XGB
0.9981155242366004,0.0034555745841951604,0.9129028379028379,0.15484773319469583,0.8333333333333333,0.28867513459481287,0.9555555555555555,0.09938079899999065,0.8568181818181818,0.20699293316479503,0.8385260592157145,0.2599403143623545,5,0.5,USDC,SMOTETomek,RF
0.9966581251334613,0.006705834588994713,0.908170559599131,0.16189603470347178,0.8333333333333333,0.28867513459481287,0.8555555555555555,0.14487116456005888,0.8305555555555555,0.2283022417328549,0.82992992992993,0.26576020459090954,5,0.5,USDC,SMOTETomek,XGB
0.990000059982677,0.01273650697290839,0.8309576701493994,0.20776428933355018,0.7761904761904762,0.25621525813932583,0.6364285714285713,0.1908322564803411,0.6956582633053221,0.2103613948728608,0.7407179265731897,0.23376988604923735,5,0.5,USDC,SMOTEENN,RF
0.9779078762053519,0.03823749289823206,0.7763045917742456,0.20665049789227063,0.8047619047619048,0.2747912008810192,0.5683838383838384,0.2184031331705579,0.66359477124183,0.23890024382230196,0.7407030533965518,0.25758238333227934,5,0.5,USDC,SMOTEENN,XGB
0.9892264154112291,0.01853399867243624,0.853580639993592,0.2067310927220443,0.8666666666666668,0.2173067468400883,0.2217849784785027,0.06632537242434261,0.35247051629816106,0.09992013781109062,0.5463134558205768,0.1451504479049138,5,0.5,USDC,BalancedRF,BalancedRF
0.9868448871965775,0.025286496751920337,0.8004784447892217,0.21049146833115728,0.9333333333333332,0.149071198499986,0.2383148034760938,0.03394783418488842,0.37918191602402135,0.05351691592832838,0.5882870240962381,0.08457212546678296,5,0.5,USDC,EasyEnsemble,EasyEnsemble
0.9979286781977365,0.004073596963682905,0.9287037037037036,0.12914653259203843,0.6333333333333334,0.2166535841157586,1.0,0.0,0.7573426573426574,0.17214022149408337,0.6758074582618193,0.20451772843819185,5,0.6443423539252074,USDC,Thresh_F1,RF
0.9911808669656204,0.019720180967486924,0.9399171004434163,0.13434944769381327,0.5190476190476191,0.19518001458970666,1.0,0.0,0.6672727272727272,0.15740666918568674,0.5678852571232994,0.18541224066108886,5,0.9969044923782349,USDC,Thresh_F1,XGB
0.9979286781977365,0.004073596963682905,0.9287037037037036,0.12914653259203843,0.6333333333333334,0.2166535841157586,1.0,0.0,0.7573426573426574,0.17214022149408337,0.6758074582618193,0.20451772843819185,5,0.6443423539252074,USDC,Thresh_F2,RF
