Date,Y_actual,P_depeg_oof,P_depeg_full,level
2020-01-15,0,0.1585833877325058,0.03150766,Caution
2020-01-16,0,0.00335857761092484,0.0022860756,Caution
2020-01-17,0,0.004340178798884153,0.005878557,Caution
2020-01-18,0,0.013914451003074646,0.005632791,Caution
2020-01-19,0,0.2590455710887909,0.048735958,Caution
2020-01-20,0,0.013118535280227661,0.0020622213,Caution
2020-01-21,0,0.003549709916114807,0.001742423,Caution
2020-01-22,0,0.010926536284387112,0.005780715,Caution
2020-01-23,0,0.05001691356301308,0.009677823,Caution
2020-01-24,0,0.008353953249752522,0.0034860587,Caution
2020-01-25,0,0.006144716404378414,0.0031874962,Caution
2020-01-26,0,0.061044201254844666,0.015910715,Caution
2020-01-27,1,0.9899370670318604,0.999265,Alert
2020-01-28,1,0.9975656270980835,0.9996464,Alert
2020-01-29,1,0.9666260480880737,0.9996061,Alert
2020-01-30,1,0.9958654642105103,0.99912864,Alert
2020-01-31,1,0.9989145994186401,0.9995896,Alert
2020-02-01,1,0.9990098476409912,0.9995596,Alert
2020-02-02,1,0.9986080527305603,0.9995427,Alert
2020-02-03,1,0.999396562576294,0.99959844,Alert
2020-02-04,1,0.9994421601295471,0.99965,Alert
2020-02-05,1,0.9996331930160522,0.9998435,Alert
2020-02-06,1,0.9992477893829346,0.9998123,Alert
2020-02-07,1,0.9998645782470703,0.99987364,Alert
2020-02-08,1,0.9998785257339478,0.9998354,Alert
2020-02-09,1,0.9998121857643127,0.9998099,Alert
2020-02-10,1,0.9998469352722168,0.99986947,Alert
2020-02-11,1,0.9993607401847839,0.99971074,Alert
2020-02-12,1,0.9993857145309448,0.9996445,Alert
2020-02-13,1,0.9789217710494995,0.9996313,Alert
2020-02-14,1,0.9997746348381042,0.99982953,Alert
2020-02-15,1,0.9995098114013672,0.999798,Alert
2020-02-16,1,0.9996349811553955,0.9998,Alert
2020-02-17,1,0.9996922016143799,0.99969697,Alert
2020-02-18,1,0.992280125617981,0.99930644,Alert
2020-02-19,1,0.98440021276474,0.9997205,Alert
2020-02-20,1,0.8688555955886841,0.99875784,Alert
2020-02-21,0,0.2726648151874542,0.07411455,Caution
2020-02-22,0,0.15696093440055847,0.08728167,Caution
2020-02-23,0,0.06216350570321083,0.03883209,Caution
2020-02-24,0,0.23483061790466309,0.05559704,Caution
2020-02-25,0,0.026115264743566513,0.0029713067,Caution
2020-02-26,0,0.009233967401087284,0.0024836846,Caution
2020-02-27,0,0.004090472124516964,0.0031898408,Caution
2020-02-28,0,0.00666250241920352,0.004182397,Caution
2020-02-29,0,0.0015686838887631893,0.0009177559,Caution
2020-03-01,0,0.002483286429196596,0.0012572932,Caution
2020-03-02,0,0.006904043722897768,0.0017051867,Caution
2020-03-03,0,0.0008190333028323948,0.00079468684,Normal
2020-03-04,0,0.008394603617489338,0.0026778867,Caution
2020-03-05,0,0.001921308459714055,0.00061809894,Normal
2020-03-06,0,0.00047603578423149884,0.0003813083,Normal
2020-03-07,0,0.0013305582106113434,0.0005109449,Normal
2020-03-08,0,0.0005004772683605552,0.0006737647,Normal
2020-03-09,0,0.0003173853037878871,0.00030657553,Normal
2020-03-10,0,0.0011938660172745585,0.0007554071,Normal
2020-03-11,0,0.00017890645540319383,0.000229575,Normal
2020-03-12,0,0.029040254652500153,0.0066807303,Caution
2020-03-13,0,0.22614024579524994,0.11607003,Caution
2020-03-14,0,0.11681103706359863,0.0380789,Caution
2020-03-15,0,0.02527042292058468,0.026792578,Caution
2020-03-16,0,0.05279485881328583,0.056383234,Caution
2020-03-17,1,0.4181823432445526,0.99834764,Alert
2020-03-18,1,0.9558442831039429,0.99861777,Alert
2020-03-19,1,0.9439513683319092,0.99924755,Alert
2020-03-20,1,0.2824001610279083,0.9977901,Alert
2020-03-21,0,0.7798500657081604,0.07222,Caution
2020-03-22,0,0.5256276726722717,0.091968045,Caution
2020-03-23,0,0.01921316795051098,0.013958231,Caution
2020-03-24,0,0.0026684210170060396,0.0014171676,Caution
2020-03-25,0,0.0008536050445400178,0.0011342069,Caution
2020-03-26,0,0.001720658503472805,0.001019903,Caution
2020-03-27,0,0.0018226555548608303,0.0019414298,Caution
2020-03-28,0,0.016983605921268463,0.0024155716,Caution
2020-03-29,0,0.010076074860990047,0.0061147865,Caution
2020-03-30,0,0.00045149587094783783,0.00076590036,Normal
2020-03-31,0,0.00038630992639809847,0.00051532587,Normal
2020-04-01,0,0.0017579549457877874,0.0011923829,Caution
2020-04-02,0,0.0019613357726484537,0.0014797089,Caution
2020-04-03,0,0.0071593779139220715,0.0029302866,Caution
2020-04-04,0,0.004751662723720074,0.001268768,Caution
2020-04-05,0,0.0006028084317222238,0.000477753,Normal
2020-04-06,0,0.0009296049829572439,0.0014332291,Caution
2020-04-07,0,0.00324616557918489,0.0007282971,Normal
2020-04-08,0,0.0005590593791566789,0.00034395847,Normal
2020-04-09,0,0.0006384538137353957,0.000243791,Normal
2020-04-10,0,0.0005399755318649113,0.00028650943,Normal
2020-04-11,0,0.0003862526500597596,0.0006226897,Normal
2020-04-12,0,0.0009916528360918164,0.00047557792,Normal
