vol_7d_USDC,m2_supply,high_USDC,lower_shadow_USDC,turnover_rate_USDC,fed_balance_sheet,low_USDC,close_USDC,vol_30d_USDC,open_USDC,vol_7d_USDC_lag3,vol_7d_USDC_lag7,ma7_USDC,us_10y_yield,vol_ma7_USDC,vol_share_USDC,usdt_usdc_spread,vol_share_DAI,gt_stablecoin,vol_share_USDT,return_7d_USDC,ma30_USDC,dxy_change_7d,btc_dominance,ma30_dev_USDC,yield_spread_2s10s_lag3,vix,return_3d_USDC,return_1d_USDC_lag1,dxy,eth_fees_ratio,gt_fear_total,credit_spread,tvl_justlend_change_1d,return_1d_USDC,tvl_compound_finance,m2_change_pct,credit_spread_change_7d,ma7_dev_USDC,supply_change_USDC,volume_ratio_USDC_lag3,return_1d_USDC_lag3,gt_fear_total_lag3,gas_price_gwei_lag7,eth_daily_fees_usd,usdt_dai_spread,lending_tvl_total_change_1d,mcap_change_7d_USDC,tvl_compound_finance_change_1d,gt_depeg,gas_price_gwei_lag1,tvl_aave_change_1d,eth_fees_ma7,fed_bs_change_pct,yield_spread_change_7d,volume_ratio_USDC,gt_fear_ma7,volume_ratio_USDC_lag1,gas_price_gwei,gas_price_ma7
0.0029863173136904,9.648659816955295,1.0269604392,0.0089634522852604,1.104589297363798,15.244828727831434,0.9921915357,1.0011654343,,1.0015397985,0.0043794852861157,0.0038020547719584,1.0032221339714285,1.787999987602234,19.725482020160864,0.0098593293305163,-0.0015092414,0.0101094054009412,20,0.9800312652685425,-0.0034222742872848,,-0.0007194213014255,66.2589,,0.2650000476837157,12.420000076293944,-0.0031390235579804,-0.0019401183691756,97.2300033569336,,17,2.01,,-0.001202351163288,,,-0.04,-0.0020566996714284,-15150826.0,0.9361206526682888,0.0017842195094575,0.0,,,0.0039369799999999,,-0.035651459781859,,0,,,,,-0.0659999656677246,1.338265191589259,2.4285714285714284,1.3144048258605885,,
0.0028552257065361,9.648659816955295,1.0073637665,0.0036653635356157,0.9673610794897642,15.244828727831434,0.9989929047,1.0026680476,,1.0010707952,0.003847557614232,0.0038975704649551,1.0025988801857142,1.809000015258789,19.77206836981337,0.0102155882267914,-0.0034374792,0.0231024947641939,0,0.9666819170090146,-0.0043323167430342,,-0.0013339893020933,66.4452,,0.2680000495910644,12.31999969482422,-0.0016439856062013,-0.001202351163288,97.31999969482422,,0,2.0,,0.00150086414145,,,-0.0299999999999998,6.916741428586448e-05,20113226.0,0.9887644055952326,1.116777740062247e-06,0.0,,,0.014423925,,-0.0322715180499909,,0,,,,,-0.0490000247955322,1.1149013452874177,2.4285714285714284,1.338265191589259,,
0.0015823917558819,9.648659816955295,1.0065147579,0.0061768791615418,1.0925886229360462,15.244828727831434,0.9983181368,1.0045229537,,1.0025221356,0.0036189139042013,0.0046001161332537,1.0031276424714286,1.8359999656677248,19.818680014514136,0.0100323035304657,-0.0016436545,0.0003017924955958,0,0.9896659039739384,0.0036982974133852,,0.0025677896305746,66.3012,,0.2379999589920043,12.100000381469728,0.002147227605368,0.00150086414145,97.61000061035156,,0,1.98,,0.0018499702912044,,,-0.01,0.0013953112285713,-3677309.0,1.3144048258605885,-0.0019401183691756,0.0,,,-0.0001345022000001,,-0.0134687014961003,,0,,,,,-0.0090000820159912,1.1838530465319332,2.4285714285714284,1.1149013452874177,,
0.0015048791166955,9.648659816955295,1.0077644487,0.0054522416962091,0.9389809531806272,15.244828727831434,0.9998387666,1.0053200143,,1.0041478566,0.0029863173136904,0.0042530838973197,1.0035263188142858,1.8359999656677248,19.862360020928264,0.0093515057490167,-0.0025787269000001,0.0003747204436816,0,0.9902737738073016,0.002783693659579,,0.0025677896305746,65.904,,0.2279999876022338,12.100000381469728,0.0041497437463018,0.0018499702912044,97.61000061035156,,0,1.98,,0.0007934717639495,,,-0.01,0.0017936954857142,-3699498.0,1.338265191589259,-0.001202351163288,17.0,,,0.0009141486999999,,-0.0149729097698052,,0,,,,,-0.0090000820159912,0.9784459929911336,2.4285714285714284,1.1838530465319332,,
0.0033749972493566,9.648659816955295,1.0252532823,0.0034394350823932,0.9693125716412884,15.244828727831434,0.9938600268,0.9972901415,,1.0050817108,0.0028552257065361,0.0043794852861157,1.0025223372857144,1.8359999656677248,19.893326033489924,0.0098183364594796,0.0012447241,0.0003888392184358,0,0.9897928243220844,-0.0069976547414549,,0.0025677896305746,66.5437,,0.229000015258789,12.100000381469728,-0.0053635957711754,0.0007934717639495,97.61000061035156,,0,1.98,,-0.0079873798251109,,,-0.01,-0.0052321957857144,-472331.0,1.1149013452874177,0.00150086414145,0.0,,,0.0125941171,,-0.0239177171143577,,0,,,,,-0.0090000820159912,0.9708721837190744,2.4285714285714284,0.9784459929911336,,
0.0037861178891713,9.645713735823012,1.0050305747,0.0043151032082401,0.7837282883492086,15.244828727831434,0.9964846311,1.0008032002,,0.9973469911,0.0015823917558819,0.003847557614232,1.0020200610571428,1.8359999656677248,19.893519749464527,0.010280539314575,-0.0001156633000001,0.000451855038431,21,0.989267605646994,-0.003500813119727,,0.0026707975378097,66.0469,,0.2559999656677245,12.100000381469728,-0.0037030049799249,-0.0079873798251109,97.61000061035156,,0,1.98,,0.0035226044596372,,,-0.01,-0.0012168608571427,353617.0,1.1838530465319332,0.0018499702912044,0.0,,,0.0090541929999998,,-0.0135673492975253,,0,,,,,-0.0120000839233399,0.7881708591774608,2.4285714285714284,0.9708721837190744,,
0.0038148193941832,9.645713735823012,1.0038364628,0.0053998128403839,0.7064449007700248,15.244828727831434,0.9972274335,1.00264151,,1.0006692461,0.0015048791166955,0.0036189139042013,1.0020587573714286,1.7690000534057615,19.84053407826058,0.0099199790271237,-0.0012231462999998,0.0004730356545439,0,0.9896069853183322,0.0002702335746136,,0.0016431758057071,65.6962,,0.2559999656677245,12.850000381469728,-0.002664330026161,0.0035226044596372,97.52999877929688,,0,1.97,,0.0018368344541987,,,-0.02,0.0005827526285713,55542.0,0.9784459929911336,0.0007934717639495,0.0,,,0.002235433,,0.0288821165080968,,0,,,,,0.0010000944137573,0.7531943034688188,2.4285714285714284,0.7881708591774608,,
0.0038056751831741,9.645713735823012,1.0076200186,0.0028967557635469,0.6838423172354866,15.237633587676651,0.9987135921,1.0016150262,,1.0020190118,0.0033749972493566,0.0029863173136904,1.0021229847857145,1.7690000534057615,19.7750044420516,0.0102997801903509,-0.0010202529,0.0004837306062625,0,0.9892164892033866,0.0004490685401203,,0.0030854202612951,65.7406,,0.2559999656677245,12.90999984741211,0.0043366363709314,0.0018368344541987,97.52999877929688,,0,1.97,,-0.0010237794762754,,,-0.0399999999999998,-0.0005079585857141,2777758.0,0.9708721837190744,-0.0079873798251109,0.0,,,0.0046191221,,0.0140217959972157,,0,,,,,0.0110000658035278,0.7995346664074199,0.0,0.7531943034688188,,
0.0037591520634478,9.645713735823012,1.0040871917,0.0048970691469002,0.7208551143033104,15.237633587676651,0.9959772462,1.000878618,,1.0014682563,0.0037861178891713,0.0028552257065361,1.0018673519857142,1.7400000095367432,19.733372841549443,0.0094230812509227,-0.0024699537,0.0004722408490672,16,0.99010467790001,-0.0017846680207704,,0.0038019189040512,65.777,,0.2559999656677245,12.979999542236328,7.535727302321327e-05,-0.0010237794762754,97.69000244140624,,0,1.98,,-0.0007352207991466,,,-0.02,-0.0009887339857141,10772088.0,0.7881708591774608,0.0035226044596372,0.0,,,0.0074112547999999,,-0.0026179804389395,,0,,,,,0.0009999942779541,0.8613161738133734,0.0,0.7995346664074199,,
0.0037650941301199,9.645713735823012,1.0047336604,0.0085541712501363,0.7086788311853671,15.237633587676651,0.9942152904,1.0027933565,,1.0010231402,0.0038148193941832,0.0015823917558819,1.001620266671429,1.680999994277954,19.66831740722999,0.0093590260807963,0.0001766999999999,0.0004526513626402,26,0.9901883225565634,-0.001721809535192,,0.0024587425701141,66.0199,,0.2390000534057617,14.5600004196167,0.0001514464526808,-0.0007352207991466,97.8499984741211,,0,1.98,,0.001913057653111,,,0.0,0.0011730898285713,-9077597.0,0.7531943034688188,0.0018368344541987,0.0,,,0.0028868088,,0.0145052092466779,,0,,,,,-0.0649999713897703,0.9054125595757856,0.0,0.8613161738133734,,
0.0037396649681477,9.645713735823012,1.0048922534,0.0035898448726221,0.5966901261639606,15.237633587676651,0.9984382087,1.0020353602,,1.0031138967,0.0038056751831741,0.0015048791166955,1.0011510303714286,1.680999994277954,19.605528572592654,0.0099675676317715,7.728019999997393e-05,0.0005001926962334,0,0.989532239671995,-0.0032672721653582,,0.0024587425701141,66.1337,,0.2390000534057617,14.5600004196167,0.0004196562441707,0.001913057653111,97.8499984741211,,0,1.98,,-0.0007558848441572,,,0.0,0.0008843298285714,433886.0,0.7995346664074199,-0.0010237794762754,0.0,,,0.0135546193,,0.0093404314618998,,0,,,,,-0.0649999713897703,0.8113478297992622,0.0,0.9054125595757856,,
0.0039270147129727,9.645713735823012,1.0146300671,0.0142707621080653,0.6517625122689946,15.237633587676651,0.9977395996,1.0121842401,,1.0020942191,0.0037591520634478,0.0033749972493566,1.003278758742857,1.680999994277954,19.54660427287205,0.0099355130775073,-0.0116800043,0.0004856619352898,0,0.989578824987203,0.0149345691692071,,0.0024587425701141,65.9305,,0.2300000095367431,14.5600004196167,0.0112956974968567,-0.0007558848441572,97.8499984741211,,0,1.98,,0.0101282652320515,,,0.0,0.0089054813571429,-123382.0,0.8613161738133734,-0.0007352207991466,0.0,,,-0.0060878492,,0.0270841927729343,,0,,,,,-0.0649999713897703,0.9483594658919448,0.0,0.8113478297992622,,
