Date,Open.dai,High.dai,Low.dai,Close.dai,Volume.dai
2019-11-22 00:00:00+00:00,0.997358024,1.026548028,0.972163975,0.992597997,2104541
2019-11-23 00:00:00+00:00,0.992183983,1.028746963,0.988340974,1.016281962,311283
2019-11-24 00:00:00+00:00,1.016288042,1.035135984,0.995608985,1.002269983,255060
2019-11-25 00:00:00+00:00,1.00128901,1.034708023,0.984804988,1.00702095,958777
2019-11-26 00:00:00+00:00,1.00720799,1.031427979,0.991766989,1.006096005,217385
2019-11-27 00:00:00+00:00,1.004963994,1.02898705,0.984414995,0.997034013,478836
2019-11-28 00:00:00+00:00,0.999867976,1.017568946,0.992334008,1.004737973,1295174
2019-11-29 00:00:00+00:00,1.004977942,1.008154035,0.993472993,1.004758954,1517444
2019-11-30 00:00:00+00:00,1.004758954,1.015763998,1.000229955,1.005228043,1099787
2019-12-01 00:00:00+00:00,1.004559994,1.022320032,0.995482981,1.001039982,1383114
2019-12-02 00:00:00+00:00,1.002182961,1.019377947,0.993396997,0.997915983,1652542
2019-12-03 00:00:00+00:00,0.997915983,1.011597037,0.991295993,1.003919005,1436267
2019-12-04 00:00:00+00:00,1.003635049,1.014256954,0.984791994,1.004449964,2308280
2019-12-05 00:00:00+00:00,1.004994035,1.033486009,0.997367978,1.008205056,1399150
2019-12-06 00:00:00+00:00,1.008435011,1.012019992,0.999985993,1.001904964,2479272
2019-12-07 00:00:00+00:00,1.001525998,1.007874966,0.998785019,1.005784988,1931386
2019-12-08 00:00:00+00:00,1.005784988,1.012745023,1.000044942,1.003661036,4015579
2019-12-09 00:00:00+00:00,1.003661036,1.011018991,0.996363997,1.00643599,2776887
2019-12-10 00:00:00+00:00,1.00612998,1.009075999,1.001160026,1.003851056,2237471
2019-12-11 00:00:00+00:00,1.003733039,1.013802052,1.00208199,1.003029943,2841475
2019-12-12 00:00:00+00:00,1.003136039,1.010460019,0.996499002,1.005455971,2372303
2019-12-13 00:00:00+00:00,1.005864024,1.007776022,0.999520004,1.003854036,2211492
2019-12-14 00:00:00+00:00,1.003283024,1.009757042,1.001476049,1.007593989,1645619
2019-12-15 00:00:00+00:00,1.007593989,1.010131001,0.981594026,1.003221035,1505775
2019-12-16 00:00:00+00:00,1.003221035,1.022722006,0.99910599,1.00622201,3403102
2019-12-17 00:00:00+00:00,1.00622201,1.021092057,0.999855995,1.000815988,5002589
2019-12-18 00:00:00+00:00,1.002338052,1.025660992,0.993978024,1.001963019,5256854
2019-12-19 00:00:00+00:00,1.002552032,1.019948006,0.997753978,1.007567048,2055299
2019-12-20 00:00:00+00:00,1.007567048,1.010298967,0.996213973,1.00385499,1686796
2019-12-21 00:00:00+00:00,1.003990054,1.009588003,1.001518011,1.005012035,1342908
2019-12-22 00:00:00+00:00,1.005257964,1.006857991,0.997502029,0.999936998,1591895
2019-12-23 00:00:00+00:00,0.999936998,1.008941054,0.994225979,0.997308016,3625855
2019-12-24 00:00:00+00:00,0.996812999,1.020666003,0.994283974,1.010182023,3862385
2019-12-25 00:00:00+00:00,1.010182023,1.018152952,1.002004981,1.010640979,1790487
2019-12-26 00:00:00+00:00,1.010640979,1.013643026,0.994819999,1.004379988,2858958
2019-12-27 00:00:00+00:00,1.004724026,1.021420956,0.996896982,1.008268952,2522002
2019-12-28 00:00:00+00:00,1.008268952,1.017510056,1.005602002,1.006780982,2471911
2019-12-29 00:00:00+00:00,1.00594902,1.031198978,1.00356102,1.003944039,3967640
2019-12-30 00:00:00+00:00,1.006356001,1.012390018,1.001350045,1.00719595,3338305
2019-12-31 00:00:00+00:00,1.006544948,1.0079,0.996665001,0.998045027,3115204
2020-01-01 00:00:00+00:00,0.997848988,1.003898025,0.995779991,1.000242949,2058558
2020-01-02 00:00:00+00:00,1.000242949,1.004047036,0.994646013,0.997823,2925547
2020-01-03 00:00:00+00:00,0.998678029,1.004583001,0.991770029,1.002184987,3578684
2020-01-04 00:00:00+00:00,1.00199604,1.012691975,0.999384999,1.007794976,3342562
2020-01-05 00:00:00+00:00,1.007941961,1.015598059,1.002272964,1.007634997,4610514
2020-01-06 00:00:00+00:00,1.006191969,1.01296103,0.996649027,1.003021955,5758883
2020-01-07 00:00:00+00:00,1.003021955,1.007722974,0.994253993,0.996011019,6468096
2020-01-08 00:00:00+00:00,0.996011019,1.012341022,0.989955008,1.005967975,8331934
2020-01-09 00:00:00+00:00,1.005604982,1.009737015,0.99664402,1.005149007,4861969
2020-01-10 00:00:00+00:00,1.005280018,1.011114955,0.997754991,1.002166986,6095383
2020-01-11 00:00:00+00:00,1.003123999,1.008507967,0.997107029,1.002446055,3583659
2020-01-12 00:00:00+00:00,1.001019955,1.011543989,0.997747004,1.001692057,3966035
2020-01-13 00:00:00+00:00,1.000877023,1.006935,0.997988999,1.001173019,3752013
2020-01-14 00:00:00+00:00,1.00067699,1.018237948,0.993906021,1.001736999,8995881
2020-01-15 00:00:00+00:00,1.002974987,1.02391696,0.965717971,0.995719016,505927649
2020-01-16 00:00:00+00:00,0.993941009,1.00079596,0.950761974,0.984807014,973939834
2020-01-17 00:00:00+00:00,0.985125005,1.017104983,0.975477993,1.003013968,14412819
2020-01-18 00:00:00+00:00,1.001932025,1.009346008,0.986985028,1.001827002,16575859
2020-01-19 00:00:00+00:00,1.000851989,1.013579965,0.979490995,0.985940993,16767022
2020-01-20 00:00:00+00:00,0.985940993,0.999975979,0.980098009,0.991632998,15109478
2020-01-21 00:00:00+00:00,0.991402984,1.001610994,0.981959999,0.999182999,14856777
